Sender_Provider_ID,Receiver_Provider_ID,Number_of_shared_patients
841976666,147337803,228
383450553,496442646,272
491541578,702269164,552
402533494,260045822,645
692362342,927982963,97
870530217,990505735,290
559225330,781007818,260
468164906,273497327,175
468164906,260045822,211
259014493,870530217,88
642678844,260045822,292
103807155,318610946,113
781007818,841976666,245
895890631,138684919,202
996139578,781057736,248
220123666,381272327,165
692362342,103807155,270
685823118,574417266,128
260045822,996139578,65
996139578,430989881,75
491541578,199104722,820
199104722,990505735,219
318610946,624557080,622
369639388,841976666,69
624557080,402533494,709
692362342,561479973,202
559225330,147337803,58
781057736,147337803,230
147337803,561479973,270
857704655,468164906,225
781057736,990505735,251
496442646,685823118,219
154544899,574417266,79
180792472,781057736,215
642678844,397083132,261
642678844,468164906,65
624557080,103807155,804
430989881,260045822,285
147337803,692362342,81
857704655,561479973,127
561479973,273497327,291
397083132,110382761,188
702269164,692362342,70
138684919,326161867,277
574417266,430989881,132
138684919,990505735,56
318610946,781057736,296
259014493,260045822,200
749431082,491541578,844
397083132,260045822,60
369639388,559225330,182
725464884,692362342,284
397083132,369639388,199
574417266,496442646,258
702269164,318610946,170
240466536,895890631,135
458153605,693269304,76
624557080,927982963,710
561479973,702269164,123
693269304,273497327,258
491541578,841976666,518
857704655,318610946,130
990505735,458153605,79
954829815,273497327,942
110382761,402533494,836
180792472,857704655,155
870530217,154544899,182
784095277,996139578,243
702269164,496442646,163
491541578,870530217,604
397083132,841976666,83
781007818,749431082,299
496442646,138684919,254
554811020,236843584,581
103807155,841976666,53
841976666,895890631,73
781057736,781007818,168
781007818,725464884,263
642678844,702269164,288
236843584,147337803,760
236843584,397083132,712
554811020,857704655,191
642678844,381272327,98
138684919,110382761,241
383450553,468164906,120
954829815,895890631,674
110382761,397083132,260
402533494,147337803,871
103807155,685823118,198
693269304,702269164,271
642678844,692362342,187
559225330,240466536,135
841976666,491541578,778
381272327,857704655,288
458153605,154544899,228
554811020,260045822,148
781057736,954829815,710
326161867,458153605,240
559225330,236843584,967
693269304,725464884,88
